Gene ID	Log2Ratio	p-value	Max RPKM
NM_002668	0.58	1.71E-01	83023.81
NM_002669	0.97	5.85E-02	12154.22
NM_001145319	-1.20	1.97E-01	31117.85
NM_002670	-0.69	9.35E-02	498.63
NM_005032	2.33	3.21E-02	104462.88
NM_001136025	2.46	1.18E-01	20867.01
NM_021105	1.82	1.84E-01	2182.64
NM_020359	0.16	8.57E-01	7.41
NM_020360	-0.39	6.74E-01	5843.18
NM_001128304	2.64	4.73E-03	708.76
NM_001128306	3.05	4.97E-02	1153.17
NM_001128305	3.71	3.01E-02	1083.35
NM_020353	4.99	7.72E-02	3715.76
NM_001085420	1.63	5.38E-01	2.01
NM_006227	5.35	1.70E-01	9932.88
NM_182676	5.81	1.76E-01	435.68
NM_031310	-2.99	7.67E-02	18.55
NM_020405	1.97	2.55E-01	641.59
NM_032812	-0.28	8.16E-01	7838.83
NM_032242	0.46	2.39E-01	98851.54
NM_025179	1.66	2.48E-01	16700.06
NM_017514	-2.05	5.30E-02	115854.36
NM_181775	-0.95	5.54E-01	197.17
NM_020911	-0.73	4.88E-01	2165.59
NM_001105543	0.55	6.88E-01	221.37
NM_002673	-2.45	1.53E-03	48792.12
NM_001130082	-0.22	4.34E-01	824.48
NM_012401	-0.87	4.64E-02	172500.13
NM_005393	-6.41	2.14E-03	9172.56
NM_001163257	-6.17	1.38E-01	6387.15
NM_005761	0.58	3.52E-01	48.67
NM_015103	-1.16	1.82E-01	47446.88
NM_152491	-1.75	3.47E-01	3.35
NM_001010853	1.56	1.63E-01	37650.78
NM_021127	1.01	2.72E-01	16798.70
NM_002674	0.40	5.51E-01	56.34
NR_003922	-1.11	8.54E-02	34.04
NM_006928	-3.19	2.60E-01	978.29
NM_199169	-0.78	3.01E-01	6274.03
NM_199170	-0.76	3.08E-01	6947.25
NM_020182	-0.67	1.57E-01	28086.33
NM_199171	-0.49	3.86E-01	1158.30
NM_007221	-0.80	6.59E-02	13131.29
NM_031293	0.47	5.76E-01	57.46
NM_001160213	0.96	3.07E-01	43.49
NM_033246	0.72	4.08E-01	238.79
NM_033247	1.05	1.52E-01	216.29
NM_033240	1.12	3.23E-01	3358.60
NM_033239	1.45	1.16E-01	4201.59
NM_033249	1.52	2.42E-01	2670.72
NM_002675	1.57	1.37E-01	3310.74
NM_033238	1.80	5.81E-02	9856.59
NM_033244	1.99	1.57E-01	4718.93
NM_033250	2.07	5.07E-02	4619.52
NM_002676	1.03	1.18E-01	12257.45
NM_000303	-0.14	6.47E-01	16143.74
NM_002677	-0.32	7.73E-01	7.24
NM_000304	-1.08	3.27E-01	2829.72
NM_153322	3.64	4.31E-03	12445.63
NM_153321	4.91	3.34E-03	58309.14
NM_015160	-0.10	8.34E-01	23925.64
NM_004279	0.05	8.97E-01	2563.22
NM_001128143	-0.42	1.96E-01	2764.92
NM_001128144	0.14	5.21E-01	3603.63
NM_000534	1.69	1.03E-02	12143.20
NM_000535	-0.56	2.00E-01	16352.51
NR_003085	-0.20	4.39E-01	572.09
NR_002217	-0.12	7.53E-01	1984.86
NR_003614	-2.07	2.87E-01	23.82
NR_003614	-1.24	2.30E-01	38.67
NR_003613	-0.94	2.38E-03	5606.04
NM_005395	-0.90	1.16E-01	793.20
NM_001003686	-0.31	5.18E-01	652.41
NR_022007	-1.06	6.11E-02	383.01
NM_006556	-1.24	9.26E-02	20841.69
NM_001135740	-2.35	6.17E-02	114.43
NM_001039582	-1.83	1.32E-01	89.04
NM_032870	-0.90	4.77E-01	13784.87
NM_015491	-0.40	4.95E-01	14473.04
NM_015488	-1.42	3.50E-01	1916.23
NM_022572	-1.07	2.46E-01	19405.78
NM_001077399	-0.84	1.12E-02	10507.36
NM_007254	-0.44	1.65E-01	455.39
NM_173516	0.43	7.21E-01	19.31
NM_006229	-0.93	3.47E-01	1.90
NM_005396	-4.33	2.36E-01	20.15
NM_001011709	5.44	2.03E-01	43.50
NM_006029	0.32	6.05E-01	78255.32
NM_007257	5.19	1.79E-01	36513.32
NM_013364	1.34	4.71E-01	53.77
NM_001103150	-7.97	3.47E-01	15029.81
NM_052926	-6.89	3.47E-01	6661.39
NM_001103151	-4.22	3.54E-01	582.63
NM_032882	1.20	5.02E-01	2735.51
NM_018215	0.95	4.22E-01	11385.53
NM_001103149	0.98	3.42E-01	961.59
NM_020709	2.92	3.13E-01	57.10
NM_002686	-7.03	3.24E-01	1077.35
NM_002687	0.13	7.04E-01	96499.65
NM_020143	0.86	1.59E-02	24003.09
NM_006228	1.79	1.82E-01	3.45
NM_000270	0.33	6.10E-01	37797.65
NM_001145717	-0.39	8.04E-01	8.15
NM_173676	0.21	8.37E-01	24.12
NM_001145716	0.22	8.29E-01	24.47
NM_020376	-0.38	2.56E-01	34311.42
NM_025225	-0.38	6.21E-01	3937.43
NM_004650	-3.09	5.97E-02	15412.12
NM_001142389	-0.02	9.63E-01	84.67
NM_138814	-1.30	2.14E-01	7.87
NM_006702	2.25	1.23E-02	16766.75
NM_001098537	-6.23	1.38E-02	6937.04
NM_152286	-4.32	4.00E-04	1614.29
NM_015723	-0.56	5.05E-01	1009.41
NM_018129	-1.65	4.87E-02	34442.54
NM_033109	0.67	2.46E-01	20730.93
NM_006813	-0.50	3.62E-01	30013.65
NM_017761	-0.24	5.85E-01	77122.45
NM_015426	0.28	6.78E-01	1181.33
NM_001161581	0.64	2.27E-01	9266.65
NM_001161580	0.70	1.91E-01	4551.34
NM_172240	-0.90	1.27E-01	10148.15
NM_001099271	-0.15	6.89E-01	4711.89
NM_152408	0.02	9.64E-01	309.18
NM_153703	8.76	1.41E-01	681.22
NM_001146254	-1.16	1.35E-01	168.32
NM_024825	-0.72	2.53E-01	59.46
NM_001146255	0.22	8.52E-01	302.91
NM_001018111	0.91	5.52E-01	14945.95
NM_005397	0.94	5.89E-01	83425.14
NM_015720	-0.63	4.59E-01	19794.22
NM_024921	-6.02	1.61E-01	40457.14
NM_172236	0.38	5.42E-01	329.71
NM_015352	1.43	5.29E-02	148819.97
NM_015227	0.18	7.18E-01	11534.66
NR_004858	1.58	1.75E-01	5222.29
NM_133635	2.26	1.50E-01	39179.66
NM_017542	-0.23	5.91E-01	75076.13
NR_024265	-0.47	4.36E-01	604.78
NM_152305	0.30	5.90E-01	14290.20
NM_015100	-1.54	3.43E-02	56166.26
NM_145796	-1.22	1.17E-01	1541.40
NM_207171	0.06	8.71E-01	1419.77
NM_016937	0.43	4.48E-01	25981.99
NM_002689	0.02	9.80E-01	13939.62
NM_002690	-0.79	1.21E-01	2079.92
NM_002691	0.21	7.49E-01	14620.96
NM_001127218	-0.19	5.82E-01	77595.54
NM_006230	-0.12	4.73E-01	153.23
NM_006591	0.59	1.80E-01	20372.15
NM_021173	-1.38	1.89E-01	20752.11
NM_015584	-0.07	8.71E-01	77093.07
NM_032311	0.35	3.76E-01	12993.49
NM_178136	1.19	1.09E-01	9108.50
NM_006231	-0.11	7.88E-01	45613.40
NM_002692	0.92	4.16E-01	3568.12
NR_027261	-0.20	7.57E-01	10506.18
NM_017443	0.21	6.84E-01	75307.90
NM_019896	0.88	1.01E-01	10277.87
NM_001126131	0.50	3.80E-01	31844.99
NM_002693	0.55	3.25E-01	19719.18
NM_007215	-0.53	3.53E-01	5811.42
NM_006502	0.46	2.59E-01	22593.31
NM_007195	-1.46	2.97E-02	11247.69
NM_016218	0.13	7.99E-01	5316.18
NM_013274	-1.14	1.65E-01	2071.04
NM_013284	-1.58	8.14E-02	3841.47
NM_181808	0.23	7.89E-01	660.24
NM_199420	0.47	3.35E-01	11921.97
NM_015425	0.55	3.38E-01	34963.21
NM_001137604	1.00	1.08E-02	1336.52
NM_019014	1.50	4.81E-02	13241.96
NM_004875	-0.02	9.52E-01	801.33
NM_203290	1.16	1.87E-04	16373.81
NM_152705	0.24	6.66E-01	25649.23
NM_015972	0.80	7.87E-02	20872.38
NM_022490	2.10	1.24E-01	41152.92
NM_000937	-0.12	6.36E-01	181800.14
NM_000938	0.84	2.11E-02	92538.65
NM_032940	0.42	3.75E-01	38371.77
NM_004805	0.14	7.31E-01	26302.57
NM_002695	2.13	2.21E-02	61967.62
NM_021974	10.18	1.43E-01	1159.77
NM_002696	-0.60	3.42E-01	13471.89
NM_006232	-0.29	5.55E-01	22020.27
NM_006233	-0.05	9.01E-01	4833.71
NM_006234	-0.46	1.92E-01	19275.40
NM_032959	-1.79	2.50E-01	939.11
NM_001097615	-1.43	3.38E-01	1655.36
NR_003655	-0.32	6.38E-01	1334.52
NM_005034	0.09	8.49E-01	29204.82
NM_021128	0.56	3.75E-01	38322.43
NR_027390	-1.75	3.08E-01	1322.94
NM_001018102	-0.81	6.94E-01	186.12
NM_015532	-0.11	9.38E-01	11591.64
NM_007055	-0.08	7.93E-01	30256.11
NM_018082	0.33	4.58E-01	10621.25
NM_001160708	0.50	4.50E-01	1750.52
NM_006468	-0.12	8.37E-01	9791.70
NM_001722	0.71	3.00E-02	1609.37
NM_018119	-0.36	3.68E-01	14597.08
NM_006466	0.48	3.18E-01	6143.74
NM_006467	4.19	2.07E-02	21761.22
NM_032305	-0.46	2.82E-01	5425.07
NM_138338	-1.01	3.95E-01	1172.32
NM_001018052	-0.25	5.93E-01	7081.58
NM_001018050	0.54	2.72E-01	37732.87
NM_016310	-0.65	1.91E-01	15416.37
NM_005035	0.78	5.50E-04	32532.10
NM_172020	-14.42	4.12E-02	21973.88
NM_001099415	-0.05	8.32E-01	48183.03
NR_024593	-0.89	1.77E-02	502.14
NR_024591	-1.12	2.08E-01	92.94
NM_033482	1.13	5.96E-01	69.47
NR_024592	-2.44	2.87E-01	34.93
NR_024583	-0.83	2.57E-01	111.26
NR_003714	-0.52	4.84E-01	295.71
NM_001035256	-1.39	5.79E-01	3.12
NM_000939	0.83	7.13E-01	1.12
NR_024332	-0.14	8.83E-01	322.01
NM_017739	0.00	9.97E-01	12774.67
NM_032806	0.65	1.64E-01	14730.55
NM_032237	-0.03	9.35E-01	4694.10
NM_015932	1.14	1.07E-02	33774.17
NM_001077365	-1.08	1.49E-01	2035.23
NM_007171	-1.00	9.05E-02	10748.59
NM_001136113	-0.95	4.61E-02	4785.61
NM_001077366	-0.45	4.00E-01	3828.41
NM_001136114	-0.28	5.60E-01	1768.64
NM_013382	-0.20	5.07E-01	16964.26
NM_152992	-0.96	3.99E-01	1360.81
NM_012230	-0.96	3.13E-01	2029.28
NM_000446	-6.36	1.42E-01	82.19
NM_001018161	0.11	8.20E-01	439.84
NM_000305	0.37	5.95E-01	21811.66
NM_000940	-5.26	2.80E-01	1701.54
NM_001145861	0.33	2.65E-01	755.45
NM_001145860	0.41	6.13E-01	23724.96
NM_015029	0.44	8.60E-02	742.63
NR_027368	-0.48	2.67E-02	50.54
NM_006627	-0.34	6.07E-01	17901.66
NM_198202	-1.88	1.77E-02	609.46
NM_015918	-0.19	6.45E-01	6625.05
NM_005837	0.56	8.00E-02	22414.63
NM_022135	-1.29	1.27E-01	111.10
NR_024539	4.69	1.73E-02	2138.14
NM_022361	5.21	5.41E-02	2597.93
NM_000941	-0.39	2.18E-01	42790.34
NM_203475	-0.18	7.87E-01	209.43
NM_203474	-0.03	9.62E-01	341.14
NM_203476	0.10	9.06E-01	575.95
NM_203473	0.71	1.94E-01	624.64
NM_022825	2.50	3.78E-02	4340.99
NM_006475	5.73	2.63E-01	5165.60
NM_001135934	9.35	3.25E-01	66658.93
NM_001135935	10.59	3.38E-01	291100.35
NM_001135936	11.70	3.45E-01	658843.87
NR_003104	-0.38	6.44E-01	280.13
NM_015450	0.43	2.97E-01	9278.86
NR_003103	0.47	4.19E-01	1715.26
NR_003102	0.52	3.33E-01	656.37
NM_001042594	0.77	2.04E-01	2827.94
NM_001002920	-2.65	1.31E-01	5.44
NM_001005365	-2.63	1.36E-01	5.82
NM_001137671	0.59	7.69E-01	6.71
NM_174981	-0.21	9.06E-01	23.40
NM_001099771	0.40	5.55E-01	7383.02
NM_001083538	1.02	2.54E-01	386.67
NR_027480	-4.35	8.98E-02	20.43
NM_001005356	-4.34	1.31E-01	20.27
NM_001136213	-3.12	6.93E-02	67.23
NM_001145442	-0.16	7.93E-01	147.50
NM_006235	-1.67	1.35E-02	322.72
NM_002697	-0.79	1.49E-01	1549.01
NM_002698	2.53	1.77E-01	307.09
NM_014352	-5.89	2.99E-02	1675.79
NM_002699	-1.46	1.45E-01	288.94
NM_005604	1.85	1.92E-01	2693.35
NM_006236	2.10	4.55E-01	1043.54
NM_000307	-2.39	3.47E-01	5.23
NM_006237	5.68	2.34E-01	1187.16
NM_004575	0.61	6.78E-01	27.28
NM_002700	-0.62	3.99E-01	44.26
NM_203289	0.01	9.86E-01	60.33
NM_002701	2.67	2.66E-01	139.85
NM_001159542	1.28	5.38E-01	424.24
NM_153216	-1.48	2.70E-01	19.53
NR_026893	1.13	1.54E-01	2505.45
NM_002702	1.18	1.49E-01	710.54
NM_007252	-4.09	1.55E-01	1075.92
NR_024014	-7.42	1.74E-01	5532.78
NR_027694	-1.06	5.53E-01	85.15
NR_024158	-0.69	2.02E-01	14778.65
NM_021129	0.23	6.52E-01	44202.61
NM_176869	-0.82	5.54E-02	16686.84
NM_001034191	-0.34	5.97E-01	1446.41
NM_176867	-0.15	6.79E-01	23.53
NM_006903	-0.06	8.79E-01	474.88
NM_176866	0.08	7.92E-01	67.87
NM_020230	1.39	1.14E-02	15505.38
NM_001040664	0.49	3.58E-01	7191.08
NM_176895	1.08	5.32E-02	836.72
NM_003711	1.60	1.11E-02	12211.58
NM_177414	1.55	1.07E-01	31683.37
NM_003712	-0.92	3.04E-01	19713.69
NM_177526	-0.76	9.77E-02	708.21
NM_177543	0.62	5.70E-01	401.35
NM_001030059	4.68	1.35E-02	1680.96
NM_001102559	-1.99	7.82E-02	9804.46
NM_032483	-1.60	5.20E-02	953.67
NM_001102560	-1.53	8.36E-02	6167.13
NM_203453	-1.43	1.63E-02	13172.62
NM_032728	0.13	9.16E-01	111.05
NM_001001928	0.38	5.64E-01	2351.90
NM_005036	1.63	3.84E-01	5188.22
NM_177435	0.45	2.34E-01	1431.64
NM_006238	0.73	8.30E-02	36311.21
NM_005037	4.13	2.15E-02	1607.05
NM_015869	4.14	6.42E-02	2086.70
NM_138711	5.44	6.49E-02	3687.11
NM_138712	6.83	2.58E-01	11736.60
NM_013261	-0.71	6.62E-01	618.93
NM_133263	0.52	4.75E-01	272.58
NM_002703	0.78	1.96E-03	44711.46
NM_021823	-0.66	2.01E-01	4929.46
NM_001077447	-1.44	8.23E-03	7036.67
NM_024664	-0.75	2.17E-02	23364.25
NM_024299	-1.66	1.32E-02	117112.46
NM_152224	-1.85	3.94E-01	13.63
NM_152226	-1.63	4.10E-01	12.95
NM_006240	1.35	4.93E-01	16.65
NM_006239	0.11	9.14E-01	20.17
NM_177423	-1.78	4.86E-02	19920.15
NM_003626	-0.69	2.36E-01	41881.95
NM_003625	1.96	2.50E-01	36.60
NM_003660	-0.81	2.43E-01	3154.60
NM_015053	2.16	3.70E-01	1600.55
NM_177444	1.63	7.11E-02	4715.06
NM_003622	1.81	4.99E-02	18616.03
NM_003621	-2.32	2.40E-02	1879.60
NM_201439	0.19	9.05E-01	598.64
NM_001143789	0.93	5.89E-01	1033.42
NM_201440	1.16	3.98E-01	332.02
NM_201515	1.25	5.34E-01	722.95
NM_201438	1.77	3.15E-01	478.56
NM_001143788	2.27	2.84E-01	231.29
NM_016488	2.45	2.16E-01	1058.67
NM_001143787	5.02	1.10E-01	1359.33
NM_021130	0.01	9.88E-01	402776.01
NM_001143883	0.15	6.41E-01	7588.55
NM_178230	0.15	6.64E-01	1115.87
NM_001123068	0.16	6.32E-01	61416.64
NM_001164262	0.19	5.31E-01	18174.73
NM_001144032	0.23	3.73E-01	1504.73
NM_178230	0.26	3.95E-01	4133.16
NM_001164262	0.35	2.98E-01	6817.36
NM_000942	-0.87	2.20E-01	122916.37
NM_000943	-0.57	2.28E-01	23876.77
NM_005038	0.91	9.91E-02	22982.96
NM_203456	-0.53	5.84E-01	809.37
NM_203457	0.00	9.96E-01	2207.12
NM_006112	0.74	6.23E-02	9763.54
NR_003929	-1.11	3.02E-01	2796.03
NM_005729	0.61	2.59E-01	102932.29
NM_004792	0.41	3.86E-01	5878.07
NM_006347	0.92	1.99E-02	4988.88
NM_016059	0.75	1.96E-01	37795.17
NM_014337	-1.07	4.19E-02	36420.42
NM_148175	-0.47	4.65E-01	3158.89
NM_148176	0.54	5.17E-01	173.84
NM_131916	0.16	6.87E-01	1690.86
NM_130906	0.20	7.17E-01	2687.94
NM_032472	0.51	2.94E-01	1317.54
NM_139126	0.62	6.00E-02	15541.26
NM_173672	-0.85	8.11E-02	2377.76
NM_001111298	-0.58	5.50E-01	236.67
NM_001130858	-4.28	1.16E-02	7872.60
NM_001130859	-1.62	3.64E-02	7938.01
NM_014659	-1.48	1.20E-02	6754.10
NM_001024463	-0.93	1.30E-01	93.14
NM_015216	-0.26	4.88E-01	323.77
NM_002705	-3.64	1.52E-03	48065.01
NM_021003	-1.46	2.02E-03	60573.79
NM_177951	-0.19	5.75E-01	21145.57
NM_177952	0.19	2.23E-01	664.24
NM_001033557	-0.83	1.39E-01	966.12
NM_177968	-0.80	2.57E-02	19946.23
NM_001033556	-0.25	3.39E-01	5570.16
NM_002706	0.29	4.01E-01	10052.00
NM_177969	0.67	2.25E-01	1806.39
NM_003620	-2.24	1.88E-01	43594.25
NM_014906	-1.34	2.77E-01	11167.89
NM_014634	1.55	5.23E-03	50586.05
NM_002707	0.59	2.75E-01	125181.43
NM_020700	-1.65	1.49E-02	68726.33
NM_005167	-2.42	1.29E-01	5431.60
NM_152542	-1.96	2.66E-01	23132.02
NM_139245	-2.55	6.80E-03	7295.64
NM_144641	-0.71	2.40E-01	871.06
NM_001122870	0.89	3.00E-01	396.21
NM_001080401	-0.24	7.15E-01	209.95
NM_016147	0.28	5.60E-01	25764.03
NM_000309	-0.62	2.60E-01	2309.30
NM_001122764	-0.36	4.65E-01	2677.67
NM_001008709	-1.06	1.23E-01	98012.40
NM_206873	0.97	3.29E-01	1849.67
NM_002708	1.25	6.49E-02	8106.10
NM_002709	-0.13	7.54E-01	179177.55
NM_206876	0.49	4.74E-01	4343.46
NM_002710	0.23	6.08E-01	155845.10
NM_002714	-0.58	5.82E-02	48330.44
NM_021959	0.27	2.32E-01	41612.91
NM_002480	0.23	4.13E-01	46091.53
NM_001143886	0.54	6.72E-01	636.92
NM_001143885	0.99	4.53E-01	2696.89
NM_032105	-3.83	6.52E-02	4885.12
NM_032104	-2.90	9.12E-02	4943.80
NM_002481	-1.66	1.74E-02	10789.89
NM_032103	-0.78	3.40E-01	6224.51
NM_017607	-0.03	9.04E-01	11426.27
NM_015316	-2.43	5.11E-05	27310.67
NM_001142502	-0.40	5.30E-01	6092.05
NM_006663	0.26	4.32E-01	21840.30
NM_033256	-1.05	5.75E-01	12.14
NM_138689	1.35	1.19E-03	63811.71
NM_030949	-0.58	7.39E-01	1488.97
NM_001130143	-5.78	3.37E-02	85.03
NM_017726	-5.02	1.03E-01	62.73
NM_014330	2.29	1.28E-01	100216.22
NM_032833	-0.62	6.94E-02	134440.62
NM_032902	-0.25	2.17E-01	200.36
NM_015568	-1.17	4.18E-01	10.71
NM_006658	0.80	1.55E-01	1.74
NM_001145123	1.31	1.48E-01	2.49
NM_001134870	3.27	2.82E-05	31108.89
NM_133471	4.16	8.07E-02	188682.76
NM_006741	-4.83	1.65E-01	174.32
NM_181505	-11.47	3.36E-01	8702.17
NM_032192	-3.28	1.90E-01	81.39
NM_001080545	0.62	7.68E-01	42.93
NM_006241	-0.88	8.84E-02	52470.01
NM_001135629	-0.47	4.35E-01	740.46
NR_024188	-0.43	4.18E-01	1784.82
NM_152994	-0.41	3.41E-01	4609.63
NM_014811	-1.28	2.16E-02	47245.87
NM_001007533	-0.76	4.14E-01	46.65
NR_002168	-0.86	1.62E-01	4405.37
NM_145017	-0.84	5.33E-01	213.83
NM_145030	-0.27	2.89E-01	7452.32
NM_172365	0.54	4.44E-01	49.35
NM_024607	-1.04	2.99E-01	31105.74
NM_005398	0.49	5.46E-01	6414.66
NM_006242	-3.61	8.33E-02	69442.96
NM_033215	-1.21	1.44E-01	3129.03
NM_001145115	1.05	2.70E-01	267.89
NM_001013626	-1.47	4.42E-01	41.83
NM_002712	-0.76	6.68E-02	10093.32
NM_014110	0.55	1.03E-01	31838.37
NM_002713	0.73	3.06E-02	1346.02
NM_138558	1.02	3.72E-02	8513.51
NM_017650	-1.01	1.91E-01	4738.93
NM_032595	0.06	9.16E-01	107028.80
NM_002715	0.56	9.49E-02	129183.13
NM_004156	1.68	5.72E-02	99381.61
NM_014225	-0.19	5.84E-01	105689.82
NM_002716	0.03	9.49E-01	19117.22
NM_181699	0.80	1.21E-01	4196.11
NM_002717	1.44	2.37E-02	50362.09
NM_181677	-2.08	4.34E-02	21.95
NM_001127381	-0.88	6.98E-01	2.83
NM_181674	0.20	3.47E-01	1.15
NM_181678	0.43	3.47E-01	1.34
NM_181676	0.53	3.47E-01	1.44
NM_181675	0.60	3.47E-01	1.51
NM_004576	0.74	3.47E-01	1.67
NM_020416	-4.08	7.51E-03	40639.30
NM_181876	-2.36	8.37E-03	882.47
NM_001003656	-0.62	1.28E-01	3907.77
NM_018461	-0.27	4.23E-01	14752.81
NM_181897	0.07	9.10E-01	337.09
NM_002718	0.38	3.85E-01	26489.98
NM_199326	-1.05	6.53E-01	3.32
NM_013239	0.43	8.40E-01	3.82
NM_013239	0.72	5.76E-01	8.52
NM_199326	1.03	6.26E-01	1.96
NM_017917	1.48	5.09E-03	5089.12
NM_178001	-0.69	8.35E-02	10139.19
NM_178000	-0.49	2.05E-01	70609.55
NM_178003	-0.28	2.09E-01	1041.09
NM_021131	-0.24	7.36E-01	5398.33
NM_006243	-1.84	7.39E-03	45477.34
NM_006244	1.57	1.40E-01	8696.67
NM_001161725	-1.05	4.31E-01	6193.89
NM_001161726	-0.38	3.37E-01	35257.01
NM_178586	-0.16	8.90E-01	13471.17
NM_002719	-0.12	6.76E-01	15672.94
NM_178587	0.25	5.20E-01	14972.17
NM_180977	-0.17	8.11E-01	783.73
NM_006245	0.50	1.16E-01	34070.86
NM_180976	0.91	2.52E-01	2185.79
NM_006246	-0.04	9.37E-01	11867.32
NM_000944	-0.39	5.10E-01	1608.41
NM_001130691	-0.06	8.68E-01	32660.38
NM_001130692	1.02	1.55E-01	8716.79
NM_001142354	-0.28	5.04E-01	11981.75
NM_021132	-0.10	7.19E-01	854.43
NM_001142353	0.57	4.04E-01	811.35
NM_005605	0.12	5.50E-01	327.16
NM_000945	0.09	8.05E-01	76047.26
NM_147180	2.18	3.47E-01	4.53
NM_002720	-0.09	8.81E-01	826.96
NM_005134	0.73	1.19E-01	4222.09
NM_001042388	1.36	3.11E-02	53790.44
NR_003505	-1.61	4.81E-01	340.53
NM_174907	0.52	2.01E-01	23053.06
NM_058237	-1.09	5.96E-01	6003.25
NM_020958	-0.47	7.82E-01	237.79
NM_006247	0.59	3.40E-01	30176.25
NM_002721	-0.69	9.34E-02	61735.20
NM_001123355	0.04	9.16E-01	8473.75
NM_001123369	0.42	4.39E-01	6760.69
NM_014931	0.42	4.18E-01	19472.98
NM_014678	0.02	8.93E-01	14283.85
NM_001164162	-1.32	6.71E-02	8215.75
NM_001164163	-0.95	1.11E-01	12974.94
NM_001164161	-0.95	3.29E-02	43264.46
NM_018312	-0.54	5.20E-01	7784.53
NM_001164160	0.99	5.60E-02	4927.41
NM_001164164	2.25	1.61E-01	1557.27
NM_015062	1.04	9.08E-03	79134.15
NM_000310	-2.77	3.22E-01	15225.36
NM_001142604	-0.34	6.66E-01	2305.50
NM_005155	-0.38	6.14E-01	4077.92
NM_138717	0.81	4.83E-01	6089.13
NM_139283	0.24	5.00E-01	26154.68
NM_015342	0.67	1.60E-01	14463.19
NM_005710	-0.36	5.68E-01	1006.91
NM_001032383	-0.34	4.04E-01	13254.53
NM_001032381	0.41	5.94E-01	546.70
NM_001032382	0.99	3.96E-01	869.61
NM_001032384	2.02	1.97E-01	332.84
NM_001146343	0.60	3.78E-02	9455.92
NM_001146345	0.63	1.27E-01	18768.17
NM_025078	0.66	2.12E-01	3731.75
NM_017765	-0.26	7.87E-01	1084.06
NM_001040126	0.00	9.97E-01	1825.62
NM_001040125	0.09	8.72E-01	4969.08
NM_152391	-2.54	9.62E-02	3144.15
NM_032391	0.01	9.95E-01	3.57
NR_024103	2.25	1.41E-01	4.75
NM_032319	-0.40	3.53E-01	8042.34
NM_007213	1.38	8.80E-02	8397.25
NM_032152	-1.86	2.21E-02	40.89
NM_006115	-0.79	4.38E-01	3141.64
NM_206955	-0.65	6.45E-01	3150.68
NM_206956	-0.37	8.04E-01	1819.32
NM_206953	-0.22	8.34E-01	2801.32
NM_206954	0.47	7.22E-01	1060.14
NM_001024661	2.58	3.47E-01	5.97
NM_023013	3.42	2.93E-01	12.20
NM_023014	3.68	2.60E-01	42.03
NM_001039361	1.03	3.47E-01	2.04
NM_001146344	4.98	1.92E-01	13.83
NM_001080830	-1.37	2.62E-01	11.43
NM_001045480	-2.12	1.42E-01	4.36
NM_001099851	1.04	3.47E-01	2.05
NM_001099850	1.15	3.04E-01	11.30
NM_001099850	1.32	4.07E-01	12.74
NM_001099852	0.99	3.47E-01	1.99
NM_001100631	-1.18	3.47E-01	2.27
NM_001100631	1.84	1.89E-01	10.15
NM_001009611	-2.37	4.51E-01	0.43
NM_001010890	3.05	2.47E-01	3.56
NM_001010890	3.05	2.47E-01	3.56
NM_001010889	-1.64	5.36E-01	0.43
NM_001012276	3.56	2.92E-01	12.87
NM_001012276	4.96	3.25E-01	34.48
NM_001145201	-1.20	4.25E-01	8.31
NM_145202	-0.95	4.21E-01	7.11
NM_006248	-3.66	6.51E-02	20.20
NM_006249	-5.62	1.46E-01	49.25
NM_002723	-6.44	1.74E-01	86.63
NM_003981	-0.34	5.27E-01	1088.12
NM_199414	-0.04	9.38E-01	25077.93
NM_199413	0.60	2.41E-01	69360.10
NM_005973	-0.17	5.67E-01	34738.80
NM_199416	-0.12	7.58E-01	8473.11
NM_001077620	0.89	5.85E-01	110.91
NM_005040	0.97	1.79E-01	49390.84
NM_199418	1.02	3.65E-01	1030.68
NM_182907	1.12	1.72E-01	180.33
NM_001198	3.87	2.55E-02	4102.17
NM_199438	-0.29	3.38E-01	877.83
NM_199437	0.30	5.30E-01	5584.03
NM_020228	0.36	1.49E-01	1723.15
NM_199439	0.59	2.04E-01	1589.46
NM_020229	-0.67	2.59E-01	770.76
NM_021619	-1.39	4.42E-02	479.54
NM_021620	-0.01	9.95E-01	224.81
NM_024504	-0.52	6.16E-01	19.00
NM_022115	-0.38	4.87E-01	61.46
NM_001040424	-0.30	2.02E-01	10826.60
NM_022114	-0.55	7.01E-01	483.30
NM_199454	-0.48	7.23E-01	455.06
NM_015866	-1.10	4.70E-02	1579.48
NM_001135610	0.33	6.26E-01	414.87
NM_012231	0.36	6.47E-01	2449.84
NM_012406	-0.12	6.96E-01	31706.10
NM_018699	1.22	2.36E-01	603.82
NM_001136239	-2.09	2.83E-01	3813.63
NM_052996	-2.17	1.32E-01	17.00
NM_001098173	-0.35	7.35E-01	5.70
NM_020226	7.50	9.49E-02	3314.54
NM_001099403	9.25	1.21E-01	3791.22
NM_020227	3.18	4.00E-01	56.83
NM_181697	-0.20	6.73E-01	47082.92
NM_002574	0.30	7.06E-01	4602.88
NM_181696	0.37	5.20E-01	84081.31
NM_181738	-0.56	2.77E-01	8566.90
NM_005809	-0.52	3.12E-01	63078.96
NM_006793	-0.16	7.79E-01	113417.24
NM_006406	0.70	1.46E-01	46976.62
NM_181651	-0.55	2.35E-01	113.70
